,budget,cast,keywords,production_method,franchise,creative_type,genre,production_companies
Avatar(2009),425000000.0,20.50857295995199,19.91389400364863,19.141718895390603,21.65181529829283,18.873247430393473,18.97985589795907,19.693085385238525
Pirates of the Caribbean: On Stranger Tides(2011),410600000.0,19.881516663770796,19.189550158737326,18.275310324703984,20.599216095286636,18.77027429612816,19.26045758445077,19.758072303309614
Avengers: Age of Ultron(2015),330600000.0,20.18559585975946,19.695345609436796,19.141718895390603,20.907444842836803,19.860839450804544,18.97985589795907,20.222776876389098
Star Wars Ep. VII: The Force Awakens(2015),306000000.0,20.376315571331258,19.59150664526011,19.141718895390603,20.54373954077103,18.873247430393473,19.26045758445077,20.19801263022144
Pirates of the Caribbean: At World’s End(2007),300000000.0,19.876000849133337,19.76852367666382,18.275310324703984,20.599216095286636,18.16216731290656,19.26045758445077,19.743338399063433
Justice League(2017),300000000.0,19.82073413290465,19.455280146081197,18.275310324703984,20.10936539367105,19.860839450804544,18.97985589795907,19.706610241796557
Spectre(2015),300000000.0,19.86697753165117,19.49266573469122,18.275310324703984,19.457379386259362,18.01463592913939,18.97985589795907,20.66953745286486
The Dark Knight Rises(2012),275000000.0,19.89347942240349,19.193452296088342,18.275310324703984,20.485991643359455,19.860839450804544,18.97985589795907,19.83374306467302
The Lone Ranger(2013),275000000.0,19.46670590506324,19.11890557137677,18.275310324703984,18.1041296577019,18.16216731290656,17.75837214108549,19.386786611772116
John Carter(2012),275000000.0,19.67725425787506,19.230857111798535,18.275310324703984,18.1041296577019,18.873247430393473,19.26045758445077,19.56146758824824
Tangled(2010),260000000.0,20.032981388686498,19.097588902975485,19.524538422716148,18.1041296577019,19.19151692521183,18.669715806276724,20.002303553247177
Spider-Man 3(2007),258000000.0,19.737629624501878,19.706918123935647,18.275310324703984,20.474946218004487,19.860839450804544,19.26045758445077,19.905952333688656
Captain America: Civil War(2016),250000000.0,19.978466492382527,19.600186715486313,18.275310324703984,20.39756972500658,19.860839450804544,18.97985589795907,20.222776876389098
Batman v Superman: Dawn of Justice(2016),250000000.0,19.868007230360025,19.38415878411958,18.275310324703984,20.486576632358652,19.860839450804544,18.97985589795907,19.58967833287955
The Hobbit: An Unexpected Journey(2012),250000000.0,20.26074721004523,19.785508246683165,19.141718895390603,20.667715689944938,18.77027429612816,19.26045758445077,19.514766770180117
Harry Potter and the Half-Blood Prince(2009),250000000.0,20.243915363875786,19.82469154896341,19.141718895390603,20.67614275456622,18.77027429612816,19.26045758445077,20.35786380039569
The Hobbit: The Desolation of Smaug(2013),250000000.0,20.236992215605245,19.92448085989765,19.141718895390603,20.667715689944938,18.77027429612816,19.26045758445077,20.346044102071257
The Hobbit: The Battle of the Five Armies(2014),250000000.0,20.290667843035333,19.858383439101278,18.275310324703984,20.667715689944938,18.77027429612816,19.26045758445077,19.514766770180113
The Fate of the Furious(2017),250000000.0,20.075738580264588,19.778347451133875,18.275310324703984,20.268344753946597,18.01463592913939,18.97985589795907,19.794109224135823
Superman Returns(2006),232000000.0,19.431934429146274,19.760790418415993,18.275310324703984,18.935790381858865,19.860839450804544,19.26045758445077,19.612121721025268
Pirates of the Caribbean: Dead Men Tell No Tales(2017),230000000.0,19.73461754053244,19.424297669584224,18.275310324703984,20.599216095286636,18.77027429612816,19.26045758445077,19.56408851756356
Quantum of Solace(2008),230000000.0,19.659447375251872,19.358845053023764,18.275310324703984,19.457379386259362,18.01463592913939,18.97985589795907,15.7295503586238
The Avengers(2012),225000000.0,20.03997662734557,19.637298749093716,19.141718895390603,20.907444842836803,19.860839450804544,18.97985589795907,19.86410536683156
Pirates of the Caribbean: Dead Man’s Chest(2006),225000000.0,19.86924489313049,19.76852367666382,18.275310324703984,20.599216095286636,18.16216731290656,19.26045758445077,19.743338399063433
Man of Steel(2013),225000000.0,19.827849962919856,19.43655547688759,18.275310324703984,20.224487831786156,19.860839450804544,18.97985589795907,19.83374306467302
The Chronicles of Narnia: Prince Caspian(2008),225000000.0,19.70815123152283,19.653421399653034,19.141718895390603,20.03402573194566,18.77027429612816,19.26045758445077,19.64203289254528
The Amazing Spider-Man(2012),220000000.0,19.8249397228812,19.51660811448002,18.275310324703984,20.474946218004487,19.860839450804544,19.26045758445077,19.708259649763484
Transformers: The Last Knight(2017),217000000.0,19.743866078693692,19.51935569370707,19.141718895390603,20.570295316231867,18.873247430393473,18.97985589795907,19.585201904868512
Jurassic World(2015),215000000.0,20.137070084614333,19.693884290525894,18.275310324703984,20.619276953368896,18.873247430393473,18.97985589795907,19.509434837926687
Men in Black 3(2012),215000000.0,19.45907433706347,19.35962259299994,19.141718895390603,20.11290013928074,18.873247430393473,19.26045758445077,19.496645445692558
Transformers: Revenge of the Fallen(2009),210000000.0,19.773846846833084,19.87163925868137,19.141718895390603,20.570295316231867,18.873247430393473,18.97985589795907,19.918410921645204
Transformers: Age of Extinction(2014),210000000.0,19.891859549261074,19.413300084501476,19.141718895390603,20.570295316231867,18.873247430393473,18.97985589795907,20.30108502162489
X-Men: The Last Stand(2006),210000000.0,19.43769593276753,19.726157296061857,18.275310324703984,19.94781359680506,19.860839450804544,18.97985589795907,19.515056821986562
Robin Hood(2010),210000000.0,19.330405151888332,17.808199658742765,18.275310324703984,18.1041296577019,18.16216731290656,18.97985589795907,18.886196110416197
Battleship(2012),209000000.0,19.246211248367242,19.411796476093613,18.275310324703984,18.1041296577019,18.01463592913939,18.97985589795907,19.31434464408867
King Kong(2005),207000000.0,20.06774269781513,19.55936098728511,19.141718895390603,19.16282153204104,18.77027429612816,19.26045758445077,20.346044102071257
The Golden Compass(2007),205000000.0,19.53914271844852,19.59324114908453,18.275310324703984,19.62627739031471,18.77027429612816,19.26045758445077,15.7295503586238
Black Panther(2018),200000000.0,20.031179831913946,19.83607772478289,18.275310324703984,20.907444842836803,19.860839450804544,18.97985589795907,20.222776876389098
Titanic(1997),200000000.0,20.223820348613145,19.21727978506619,18.275310324703984,18.1041296577019,18.16216731290656,18.139730905563592,19.854474877128734
Rogue One: A Star Wars Story(2016),200000000.0,20.02703806586927,19.643292602380466,19.141718895390603,20.54373954077103,18.873247430393473,19.26045758445077,20.32877095859611
Finding Dory(2016),200000000.0,20.39461426251893,19.410908106769558,19.524538422716148,20.65378649414127,19.19151692521183,19.26045758445077,20.281660856290824
Toy Story 3(2010),200000000.0,20.409574007950802,19.618952247676052,19.524538422716148,20.257418615458015,19.19151692521183,19.26045758445077,20.01986657980022
Iron Man 3(2013),200000000.0,19.841214037302244,19.316569333291827,19.141718895390603,20.476341844136243,19.860839450804544,18.97985589795907,19.676157521733746
Guardians of the Galaxy Vol 2(2017),200000000.0,19.926551323570152,19.33234340433006,18.275310324703984,20.472511913451303,19.860839450804544,18.97985589795907,20.222776876389098
Spider-Man 2(2004),200000000.0,19.76054028013185,19.971169941694015,18.275310324703984,20.474946218004487,19.860839450804544,19.26045758445077,19.905952333688656
Alice in Wonderland(2010),200000000.0,19.86669151511475,19.38602063645183,19.141718895390603,20.245946747691008,18.77027429612816,19.26045758445077,19.731588177248998
Skyfall(2012),200000000.0,19.83768521666338,19.477150474788942,18.275310324703984,19.457379386259362,18.01463592913939,18.97985589795907,19.939384815394533
Monsters University(2013),200000000.0,20.301858586128663,19.087268847056485,19.524538422716148,20.24626333460857,19.19151692521183,19.26045758445077,20.01986657980022
